======= 2D FLOAT POINTS ========
Metric #0
6522.13 - 6859.89
6519.12 - 6845.9
6502.12 - 6845.9
6490.13 - 6856.89
6503.13 - 6873.89
6513.13 - 6871.89
6515.14 - 6887.89
6505.14 - 6887.89
6507.14 - 6913.88
6508.14 - 6919.88
6498.15 - 6930.88
6492.15 - 6954.87
6501.15 - 6956.87
6507.16 - 6959.87
6516.15 - 6929.88
6526.15 - 6939.87
6523.15 - 6946.87
6530.16 - 6976.87
6542.16 - 6989.86
6572.17 - 7001.86
6586.16 - 6983.86
6606.16 - 6984.86
6605.16 - 6970.86
6592.16 - 6965.87
6593.16 - 6955.87
6577.15 - 6940.87
6576.15 - 6934.87
6576.15 - 6923.88
6561.15 - 6923.88
6567.14 - 6910.88
6577.14 - 6910.88
6577.14 - 6897.88
6557.14 - 6896.88
6554.14 - 6908.88
6533.14 - 6918.88
6537.14 - 6892.88
6523.14 - 6889.89
6518.13 - 6867.89
6522.13 - 6859.89
Metric #1
6914.68 - 11279.7
6911.68 - 11276.7
6902.68 - 11265.7
6863.68 - 11286.7
6873.68 - 11295.7
6875.68 - 11297.7
6914.68 - 11279.7
Metric #2
7484.69 - 11498.8
7485.69 - 11468.8
7473.69 - 11468.8
7469.69 - 11489.8
7465.69 - 11491.8
7469.69 - 11505.8
7481.69 - 11505.8
7484.69 - 11498.8
Metric #3
7102.63 - 7795.73
7063.64 - 7823.72
7069.64 - 7835.72
7118.63 - 7810.72
7145.62 - 7779.73
7153.62 - 7790.72
7104.65 - 7887.7
7120.65 - 7893.7
7126.65 - 7896.7
7126.66 - 7913.69
7130.66 - 7932.69
7126.66 - 7936.69
7127.66 - 7950.68
7155.66 - 7945.68
7153.66 - 7931.69
7138.66 - 7931.69
7136.65 - 7915.69
7141.65 - 7911.69
7139.65 - 7895.7
7158.64 - 7857.71
7167.64 - 7861.7
7179.63 - 7846.71
7192.64 - 7862.7
7200.64 - 7859.7
7207.64 - 7868.7
7235.63 - 7855.7
7252.63 - 7865.7
7268.63 - 7858.7
7268.63 - 7849.7
7269.63 - 7844.7
7280.62 - 7842.7
7281.63 - 7852.7
7299.62 - 7853.7
7301.63 - 7864.69
7352.62 - 7865.69
7376.62 - 7879.69
7384.62 - 7863.69
7417.62 - 7881.68
7423.62 - 7869.69
7440.62 - 7881.68
7446.63 - 7921.67
7448.63 - 7920.67
7535.62 - 7916.66
7526.6 - 7867.68
7454.61 - 7864.68
7442.61 - 7855.69
7442.61 - 7847.69
7455.61 - 7842.69
7448.6 - 7814.7
7432.6 - 7815.7
7398.59 - 7762.72
7393.59 - 7762.72
7389.59 - 7747.72
7373.59 - 7747.72
7371.59 - 7717.73
7369.59 - 7715.73
7377.58 - 7701.73
7365.58 - 7690.74
7353.58 - 7700.74
